AN_BASE,NM_PROGRAMA_IES,AN_INICIO_PROGRAMA,SG_ENTIDADE_ENSINO,NM_AREA_AVALIACAO,NM_MODALIDADE_PROGRAMA,NM_AREA_CONCENTRACAO,ID_PROJETO,NM_PROJETO,NM_NATUREZA_PROJETO,DH_INICIO,DT_SITUACAO_ATUAL,IN_BOLSA,IN_OUTRO_AUXILIO,IN_RESPONSAVEL_PROJETO,ID_PESSOA,DS_TIPO_MEMBRO,NM_PAIS_NACIONALIDADE_MEMBRO
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,1,22350,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189559,APRIMORAMENTO E ANÁLISE DA BASE ESPECTRAL MILES PARA A MODELAGEM SEMIEMPÍRICA DE POPULAÇÕES ESTELARES,PESQUISA,01/12/2007,01/12/2007,SIM,NÃO,0,1426074,PARTICIPANTE EXTERNO,ESPANHA
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189559,APRIMORAMENTO E ANÁLISE DA BASE ESPECTRAL MILES PARA A MODELAGEM SEMIEMPÍRICA DE POPULAÇÕES ESTELARES,PESQUISA,01/12/2007,01/12/2007,SIM,NÃO,0,1528700,PARTICIPANTE EXTERNO,REINO UNIDO
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189559,APRIMORAMENTO E ANÁLISE DA BASE ESPECTRAL MILES PARA A MODELAGEM SEMIEMPÍRICA DE POPULAÇÕES ESTELARES,PESQUISA,01/12/2007,01/12/2007,SIM,NÃO,0,2129035,PARTICIPANTE EXTERNO,ESPANHA
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189559,APRIMORAMENTO E ANÁLISE DA BASE ESPECTRAL MILES PARA A MODELAGEM SEMIEMPÍRICA DE POPULAÇÕES ESTELARES,PESQUISA,01/12/2007,01/12/2007,SIM,NÃO,0,2129028,PARTICIPANTE EXTERNO,ESPANHA
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189559,APRIMORAMENTO E ANÁLISE DA BASE ESPECTRAL MILES PARA A MODELAGEM SEMIEMPÍRICA DE POPULAÇÕES ESTELARES,PESQUISA,01/12/2007,01/12/2007,SIM,NÃO,0,2128667,PARTICIPANTE EXTERNO,ESPANHA
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189559,APRIMORAMENTO E ANÁLISE DA BASE ESPECTRAL MILES PARA A MODELAGEM SEMIEMPÍRICA DE POPULAÇÕES ESTELARES,PESQUISA,01/12/2007,01/12/2007,SIM,NÃO,1,930780,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,373574,SÍNTESE DE POPULAÇÃO ESTELAR EM GALÁXIAS NO INFRAVERMELHO-PRÓXIMO: BASE DE AGLOMERADOS ESTELARES E COMPARAÇÃO COM MODELOS EVOLUTIVOS,PESQUISA,01/02/2015,01/02/2015,SIM,NÃO,0,473536,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,373574,SÍNTESE DE POPULAÇÃO ESTELAR EM GALÁXIAS NO INFRAVERMELHO-PRÓXIMO: BASE DE AGLOMERADOS ESTELARES E COMPARAÇÃO COM MODELOS EVOLUTIVOS,PESQUISA,01/02/2015,01/02/2015,SIM,NÃO,0,471223,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,373574,SÍNTESE DE POPULAÇÃO ESTELAR EM GALÁXIAS NO INFRAVERMELHO-PRÓXIMO: BASE DE AGLOMERADOS ESTELARES E COMPARAÇÃO COM MODELOS EVOLUTIVOS,PESQUISA,01/02/2015,01/02/2015,SIM,NÃO,1,537444,DOCENTE,COLÔMBIA
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189563,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,PESQUISA,01/01/2009,01/01/2009,NÃO,SIM,1,525564,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189563,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,PESQUISA,01/01/2009,01/01/2009,NÃO,SIM,0,539215,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189563,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,PESQUISA,01/01/2009,01/01/2009,NÃO,SIM,0,536830,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189563,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,PESQUISA,01/01/2009,01/01/2009,NÃO,SIM,0,1065248,PARTICIPANTE EXTERNO,BRASIL
