ID_PROJETO,ID_PESSOA,NM_PROJETO,DS_TIPO_MEMBRO
189545,525315,DESENVOLVIMENTO DO EXPERIMENTO ESPACIAL MIRAX (MONITOR E IMAGEADOR DE RAIOS X),DOCENTE
284728,311766,ESTRUTURA GALÁCTICA,PARTICIPANTE EXTERNO
284728,539215,ESTRUTURA GALÁCTICA,DOCENTE
189558,525564,FORMACAO ESTELAR,DOCENTE
189574,536830,"EXTRAPOLAÇÃO DE CAMPOS MAGNÉTICOS NO AQMBIENTE EXPLOSIVO COM MAGNETOGRAMAS DE EXPERIMENTOS EMBARCADOS (MDI, SDO)",DOCENTE
189580,680649,FONTES ASTROFÍSICAS DE ONDAS GRAVITACIONAIS,DISCENTE
189580,307581,FONTES ASTROFÍSICAS DE ONDAS GRAVITACIONAIS,PARTICIPANTE EXTERNO
189580,162114,FONTES ASTROFÍSICAS DE ONDAS GRAVITACIONAIS,PARTICIPANTE EXTERNO
189580,523332,FONTES ASTROFÍSICAS DE ONDAS GRAVITACIONAIS,DOCENTE
189580,183706,FONTES ASTROFÍSICAS DE ONDAS GRAVITACIONAIS,DOCENTE
189580,521323,FONTES ASTROFÍSICAS DE ONDAS GRAVITACIONAIS,DOCENTE
189580,22350,FONTES ASTROFÍSICAS DE ONDAS GRAVITACIONAIS,DOCENTE
189580,630433,FONTES ASTROFÍSICAS DE ONDAS GRAVITACIONAIS,DOCENTE
373463,537444,LINHAS CORONAIS COMO PROVA DE FEEDBACK EM AGNS,DOCENTE
373463,814977,LINHAS CORONAIS COMO PROVA DE FEEDBACK EM AGNS,DISCENTE
373463,1458383,LINHAS CORONAIS COMO PROVA DE FEEDBACK EM AGNS,DISCENTE
529108,20399,"INVESTIGATION OF HIGH ENERGY AND PLASMA ASTROPHYSICS PHENOMENA: THEORY, NUMERICAL SIMULATIONS, OBSERVATIONS, AND INSTRUMENT DEVELOPMENT FOR THE CHERENKOV TELESCOPE ARRAY (CTA)",PARTICIPANTE EXTERNO
529108,10983,"INVESTIGATION OF HIGH ENERGY AND PLASMA ASTROPHYSICS PHENOMENA: THEORY, NUMERICAL SIMULATIONS, OBSERVATIONS, AND INSTRUMENT DEVELOPMENT FOR THE CHERENKOV TELESCOPE ARRAY (CTA)",PARTICIPANTE EXTERNO
529108,701146,"INVESTIGATION OF HIGH ENERGY AND PLASMA ASTROPHYSICS PHENOMENA: THEORY, NUMERICAL SIMULATIONS, OBSERVATIONS, AND INSTRUMENT DEVELOPMENT FOR THE CHERENKOV TELESCOPE ARRAY (CTA)",DISCENTE
529108,293524,"INVESTIGATION OF HIGH ENERGY AND PLASMA ASTROPHYSICS PHENOMENA: THEORY, NUMERICAL SIMULATIONS, OBSERVATIONS, AND INSTRUMENT DEVELOPMENT FOR THE CHERENKOV TELESCOPE ARRAY (CTA)",DOCENTE
189562,162114,FORMAÇÃO DE ESTRUTURAS E COSMOLOGIA,PARTICIPANTE EXTERNO
189562,930780,FORMAÇÃO DE ESTRUTURAS E COSMOLOGIA,DOCENTE
189562,6594,FORMAÇÃO DE ESTRUTURAS E COSMOLOGIA,DOCENTE
189562,523332,FORMAÇÃO DE ESTRUTURAS E COSMOLOGIA,DOCENTE
189562,2134090,FORMAÇÃO DE ESTRUTURAS E COSMOLOGIA,DISCENTE
189573,536830,INTERPRETAÇÃO DE FENÔMENOS OBSERVADOS PELO BSS E BDA,DOCENTE
189549,402994,GEM,PARTICIPANTE EXTERNO
189549,331670,GEM,PARTICIPANTE EXTERNO
189549,14827,GEM,PARTICIPANTE EXTERNO
189549,38059,GEM,PARTICIPANTE EXTERNO
189549,961199,GEM,PARTICIPANTE EXTERNO
189549,1056303,GEM,PARTICIPANTE EXTERNO
189549,6594,GEM,DOCENTE
189572,536830,"INTERPRETAÇÃO DE IMAGENS DE BRILHO DE INTEFERÔMETROS PARCEIROS (NOBEYAMA, OWENS VALLEY E FASR)",DOCENTE
528814,385444,COSMOLOGIA QUÂNTICA,PARTICIPANTE EXTERNO
528814,943574,COSMOLOGIA QUÂNTICA,DOCENTE
528814,482926,COSMOLOGIA QUÂNTICA,EGRESSO
528814,523332,COSMOLOGIA QUÂNTICA,DOCENTE
251147,2077438,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,EGRESSO
251147,1271608,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,EGRESSO
251147,1329704,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,EGRESSO
251147,15941,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,DOCENTE
251147,19793,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,DOCENTE
251147,2433571,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,EGRESSO
251147,538771,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,DOCENTE
251147,2433578,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,EGRESSO
251147,19188,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,DOCENTE
251147,454789,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,DOCENTE
251147,1973737,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,EGRESSO
251147,538206,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,DOCENTE
251147,2077484,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,EGRESSO
251147,778227,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,EGRESSO
251147,523253,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,DOCENTE
251147,2077443,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,EGRESSO
251147,2077408,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,EGRESSO
251147,2077487,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,EGRESSO
251147,2433556,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,EGRESSO
251147,2079344,MÉTODOS INTERDISCIPLINARES EM MODELAGEM COMPUTACIONAL,EGRESSO
251149,520574,MÉTODOS INTERDISCIPLINARES EM TECNOLOGIA DA INFORMAÇÃO E EXTRAÇÃO DE INFORMAÇÕES,DOCENTE
251149,789999,MÉTODOS INTERDISCIPLINARES EM TECNOLOGIA DA INFORMAÇÃO E EXTRAÇÃO DE INFORMAÇÕES,EGRESSO
251149,530310,MÉTODOS INTERDISCIPLINARES EM TECNOLOGIA DA INFORMAÇÃO E EXTRAÇÃO DE INFORMAÇÕES,DOCENTE
251149,991607,MÉTODOS INTERDISCIPLINARES EM TECNOLOGIA DA INFORMAÇÃO E EXTRAÇÃO DE INFORMAÇÕES,EGRESSO
251149,535540,MÉTODOS INTERDISCIPLINARES EM TECNOLOGIA DA INFORMAÇÃO E EXTRAÇÃO DE INFORMAÇÕES,DOCENTE
251149,454789,MÉTODOS INTERDISCIPLINARES EM TECNOLOGIA DA INFORMAÇÃO E EXTRAÇÃO DE INFORMAÇÕES,DOCENTE
251149,1180953,MÉTODOS INTERDISCIPLINARES EM TECNOLOGIA DA INFORMAÇÃO E EXTRAÇÃO DE INFORMAÇÕES,EGRESSO
251149,964563,MÉTODOS INTERDISCIPLINARES EM TECNOLOGIA DA INFORMAÇÃO E EXTRAÇÃO DE INFORMAÇÕES,DOCENTE
251149,681891,MÉTODOS INTERDISCIPLINARES EM TECNOLOGIA DA INFORMAÇÃO E EXTRAÇÃO DE INFORMAÇÕES,EGRESSO
251149,81507,MÉTODOS INTERDISCIPLINARES EM TECNOLOGIA DA INFORMAÇÃO E EXTRAÇÃO DE INFORMAÇÕES,DOCENTE
251149,15941,MÉTODOS INTERDISCIPLINARES EM TECNOLOGIA DA INFORMAÇÃO E EXTRAÇÃO DE INFORMAÇÕES,DOCENTE
251149,17434,MÉTODOS INTERDISCIPLINARES EM TECNOLOGIA DA INFORMAÇÃO E EXTRAÇÃO DE INFORMAÇÕES,DOCENTE
251149,19793,MÉTODOS INTERDISCIPLINARES EM TECNOLOGIA DA INFORMAÇÃO E EXTRAÇÃO DE INFORMAÇÕES,DOCENTE
595223,983611,MÉTODOS MODERNOS DE ENGENHARIA E TESTES DE SOFTWARE,EGRESSO
595223,874582,MÉTODOS MODERNOS DE ENGENHARIA E TESTES DE SOFTWARE,EGRESSO
595223,81507,MÉTODOS MODERNOS DE ENGENHARIA E TESTES DE SOFTWARE,DOCENTE
595223,334462,MÉTODOS MODERNOS DE ENGENHARIA E TESTES DE SOFTWARE,EGRESSO
595223,520574,MÉTODOS MODERNOS DE ENGENHARIA E TESTES DE SOFTWARE,DOCENTE
595223,980391,MÉTODOS MODERNOS DE ENGENHARIA E TESTES DE SOFTWARE,DOCENTE
595223,2077454,MÉTODOS MODERNOS DE ENGENHARIA E TESTES DE SOFTWARE,DISCENTE
287312,15941,MODELAGEM E ANÁLISE DE SISTEMAS NÃO LINEARES E COMPLEXOS,DOCENTE
287312,19793,MODELAGEM E ANÁLISE DE SISTEMAS NÃO LINEARES E COMPLEXOS,DOCENTE
287312,454789,MODELAGEM E ANÁLISE DE SISTEMAS NÃO LINEARES E COMPLEXOS,DOCENTE
287312,538206,MODELAGEM E ANÁLISE DE SISTEMAS NÃO LINEARES E COMPLEXOS,DOCENTE
287312,523253,MODELAGEM E ANÁLISE DE SISTEMAS NÃO LINEARES E COMPLEXOS,DOCENTE
287312,539176,MODELAGEM E ANÁLISE DE SISTEMAS NÃO LINEARES E COMPLEXOS,DOCENTE
516283,514988,"ECOSSISTEMAS, IMPACTOS DE MUDANÇAS GLOBAIS E MANEJO ADAPTATIVO EM UMA UNIDADE DE CONSERVAÇÃO: HARMONIZAÇÃO DA CONSERVAÇÃO DE UM ECOSSISTEMA ALTAMENTE AMEAÇADO COM O USO DE SERVIÇOS ECOSSISTÊMICOS",DOCENTE
516054,269635,INCT MUDANÇAS CLIMÁTICAS - FASE 2,DOCENTE
516054,18398,INCT MUDANÇAS CLIMÁTICAS - FASE 2,DOCENTE
516054,15173,INCT MUDANÇAS CLIMÁTICAS - FASE 2,DOCENTE
516054,19926,INCT MUDANÇAS CLIMÁTICAS - FASE 2,DOCENTE
189427,517225,"ESTUDO DAS ONDAS DE GRAVIDADE NA REGIÃO DA MESOSFERA E BAIXA TERMOSFERA UTILIZANDO RADAR METEÓRICO, RADAR DE LASER E IMAGEADORES CCD ALL-SKY",DOCENTE
189427,22125,"ESTUDO DAS ONDAS DE GRAVIDADE NA REGIÃO DA MESOSFERA E BAIXA TERMOSFERA UTILIZANDO RADAR METEÓRICO, RADAR DE LASER E IMAGEADORES CCD ALL-SKY",DOCENTE
189427,52877,"ESTUDO DAS ONDAS DE GRAVIDADE NA REGIÃO DA MESOSFERA E BAIXA TERMOSFERA UTILIZANDO RADAR METEÓRICO, RADAR DE LASER E IMAGEADORES CCD ALL-SKY",PÓS-DOC
189435,21431,ORIGEM SOLAR E INTERPLANETÁRIA DAS TEMPESTADES GEOMAGNÉTICAS - OSITG,DOCENTE
189435,5670,ORIGEM SOLAR E INTERPLANETÁRIA DAS TEMPESTADES GEOMAGNÉTICAS - OSITG,DOCENTE
189435,84105,ORIGEM SOLAR E INTERPLANETÁRIA DAS TEMPESTADES GEOMAGNÉTICAS - OSITG,PÓS-DOC
189435,535091,ORIGEM SOLAR E INTERPLANETÁRIA DAS TEMPESTADES GEOMAGNÉTICAS - OSITG,DOCENTE
189435,523053,ORIGEM SOLAR E INTERPLANETÁRIA DAS TEMPESTADES GEOMAGNÉTICAS - OSITG,DOCENTE
189435,430344,ORIGEM SOLAR E INTERPLANETÁRIA DAS TEMPESTADES GEOMAGNÉTICAS - OSITG,DOCENTE
189435,10789,ORIGEM SOLAR E INTERPLANETÁRIA DAS TEMPESTADES GEOMAGNÉTICAS - OSITG,DOCENTE
189435,448550,ORIGEM SOLAR E INTERPLANETÁRIA DAS TEMPESTADES GEOMAGNÉTICAS - OSITG,PARTICIPANTE EXTERNO
189435,293329,ORIGEM SOLAR E INTERPLANETÁRIA DAS TEMPESTADES GEOMAGNÉTICAS - OSITG,PARTICIPANTE EXTERNO
